name,desciption,prix
"Barnabe,""Legal intervention involving baton, bystander injured, init"",$2.96"
"Freddy,""Nondisp Rolando's fx, unsp hand, subs for fx w malunion"",$9.88"
"Karin,""Laceration of blood vessels at ank/ft level, left leg, subs"",$5.95"
Wylie,Intraductal carcinoma in situ of breast,$3.24
"Adrianna,""Malig neoplm of prph nerves of unsp upper limb, inc shoulder"",$9.12"
"Wilmer,""Post-traumatic osteoarthritis, wrist"",$6.40"
Halley,Malignant neoplasm of esophagus,$4.52
"Clayton,""Balloon collision injuring occupant, subsequent encounter"",$3.72"
"Amelina,""Unspecified sprain of left wrist, initial encounter"",$2.16"
"Obadias,""Contusion of lower back and pelvis, initial encounter"",$8.13"
"Agace,""Underdosing of beta-adrenoreceptor antagonists, subs encntr"",$5.71"
"Neron,""Disp fx of med malleolus of r tibia, 7thJ"",$8.44"
"Mirna,""Skeletal fluorosis, unspecified lower leg"",$1.65"
"Rufus,""Unsp fx low end l tibia, subs for opn fx type I/2 w nonunion"",$4.93"
Carlina,Accessory lobe of lung,$9.08
Kara,Open bite of scrotum and testes,$1.87
"Huberto,""Other physeal fracture of right calcaneus, 7thD"",$1.38"
"Eba,""Nondisp fx of sternal end unsp clavicle, 7thP"",$1.93"
"Ely,""Fracture of unspecified carpal bone, left wrist, sequela"",$6.82"
"Judye,""Retinal micro-aneurysms, unspecified, unspecified eye"",$1.76"
"Dorotea,""Struck by baseball, subsequent encounter"",$6.61"
Alane,Unsp non-institutional (private) residence as place,$2.23
"Wittie,""Iliac crest spur, left hip"",$6.25"
"Torey,""Displ longitud fx l patella, subs for clos fx w delay heal"",$4.31"
"Rooney,""Drug-induced chronic gout, right shoulder, without tophus"",$0.61"
"Mile,""Breakdown (mechanical) of bone devices, implants and grafts"",$3.06"
Eunice,Other complications of heart-lung transplant,$10.00
"Orsa,""Other juvenile arthritis, right hip"",$7.66"
"Misty,""Sprain of posterior cruciate ligament of right knee, subs"",$4.81"
Alberik,Fx tib/fib following insrt ortho implnt/prosth/bone plt,$8.44
"Gena,""Self-harm by oth larger firearm discharge, sequela"",$7.01"
"Meredith,""Displ pilon fx l tibia, 7thF"",$5.42"
"Hort,""Ophthalmia nodosa, right eye"",$2.21"
"Huntington,""Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, sequela"",$3.10"
Waite,Adverse effect of penicillins,$6.80
"Rodina,""Unsp disp fx of seventh cervical vertebra, init for clos fx"",$2.33"
"Shannah,""Subluxation of unsp interphaln joint of right thumb, subs"",$4.18"
"Shayla,""Lacerat flexor musc/fasc/tend l mid fngr at forarm lv, sqla"",$4.53"
"Abra,""Poisoning by ganglionic blocking drugs, undetermined, subs"",$4.22"
"Dona,""Nondisp oblique fx shaft of l tibia, 7thK"",$2.40"
"Aurilia,""Corros 1st deg mult sites of unsp low limb, ex ank/ft, init"",$7.72"
Nancie,Unspecified fracture of shaft of unspecified tibia,$9.81
"Demetris,""Other hypertrophic osteoarthropathy, right ankle and foot"",$9.76"
Stanly,Other endophthalmitis,$0.49
"Ulrick,""Injury of trochlear nerve, left side, sequela"",$7.23"
"Avigdor,""Rheumatoid bursitis, unspecified site"",$1.49"
"Zita,""Poisoning by otorhino drugs and preparations, undetermined"",$3.69"
"Chiarra,""Unsp mtrcy rider injured in clsn w ped/anml nontraf, init"",$8.83"
"Leonhard,""Nondisp fx of med phalanx of r mid fngr, 7thK"",$8.49"
"Kareem,""Laceration of blood vessels at forarm lv, right arm, sequela"",$5.30"
Sara,Chronic pulmonary histoplasmosis capsulati,$2.79
"Anastasie,""Burn w resulting rupture and dest of unsp eyeball, init"",$3.23"
Dorree,Myopathy due to other toxic agents,$0.10
Jaquelyn,Corrosion of third degree of wrist and hand,$6.67
"Anabal,""Pnctr w fb of pharynx and cervical esophagus, sequela"",$4.00"
Lon,NIHSS score 10-19,$7.82
"Dianna,""Ped on sktbrd injured in collision w pedl cyc in traf, subs"",$8.89"
"Mill,""Unsp fx shaft of left ulna, init for opn fx type 3A/B/C"",$5.51"
"Alexandrina,""Exposure of other implanted mesh into organ or tissue, subs"",$0.14"
"Flory,""Complete lesion at C3 level of cervical spinal cord, subs"",$9.57"
"Ruddie,""Corrosion of unsp deg mult sites of right ank/ft, init"",$5.75"
"Elbertina,""Contusion of descending [left] colon, initial encounter"",$4.83"
Kerwin,Crushing injury of unspecified toe(s),$3.79
"Rosalinda,""Other superficial bite of right thumb, sequela"",$9.82"
"Georgie,""Insect bite (nonvenomous) of right wrist, subs encntr"",$7.50"
"Kiah,""War operations involving oth fire/hot subst, milt, sequela"",$1.46"
Chandra,Other fracture of upper end of right tibia,$2.61
"Hervey,""Sltr-haris Type I physl fx upr end rad, r arm, 7thP"",$1.04"
"Zacharie,""Lacerat musc/tend ant grp at low leg level, right leg, sqla"",$1.26"
"Lorrie,""Burn of unsp degree of female genital region, init encntr"",$2.61"
"Roscoe,""Displ transverse fx shaft of l fibula, 7thC"",$6.76"
"Virginia,""Type 1 fracture of sacrum, init encntr for closed fracture"",$3.76"
"Jacquelyn,""Sltr-haris Type III physeal fx lower end of l femur, sequela"",$3.79"
"Tara,""Poisn by local antifung/infect/inflamm drugs, slf-hrm, init"",$1.00"
"Hiram,""Assault by being hit or run over by motor vehicle, init"",$1.35"
"Pedro,""Contus/lac/hem brainstem w/o loss of consciousness, init"",$1.37"
"Maible,""War operations involving flamethrower, milt, sequela"",$1.79"
"Even,""Bent bone of r rad, subs for opn fx type 3A/B/C w delay heal"",$4.96"
"Conny,""Path fx in neopltc disease, oth site, subs for fx w nonunion"",$9.97"
"Robby,""Erosion of implanted urtl bulk agnt organ or tissue, sequela"",$2.62"
Lucinda,Other functional intestinal disorders,$8.98
Tracee,Acute embolism and thrombosis of deep veins of r up extrem,$5.52
Violetta,Disorders of purine and pyrimidine metabolism,$9.42
Teddie,Osteitis deformans of left forearm,$5.11
"Ware,""Unspecified aircraft accident injuring occupant, init encntr"",$0.82"
